episode,cumulative_reward,average_cumulative_reward,mean_waiting_time,mean_speed,mean_lane_density
76,-6.04,-6.445120214084465,5.638246281974838,4.70153480183225,2.1266546581201253
77,-18.21,-23.00013167192807,6.558845242231702,4.7114041293159845,2.107809489838779
78,-25.89,-19.33251280056548,8.422244147567119,4.181328397925279,2.298514638859779
79,-25.43,-27.41309559056879,7.200863879327313,4.200240575399655,2.2154254424758255
80,-15.89,-8.719106352056034,8.992714258737266,4.089050938450943,2.3154981483146546
81,-13.45,-22.394830660361006,7.221902109742235,3.972876201817437,2.3343476929888127
82,-11.91,-23.953522280397742,9.834841900642562,4.615577376041214,2.200058228857815
83,-10.6,-17.05573919239504,8.835022748554803,4.49953331346039,2.2321942102834584
84,-9.56,-12.58813785657304,7.238742807507828,4.324924079865052,2.2278391087502243
85,-5.66,-10.033482200509694,8.174119646877969,4.315859909770294,2.2363655311465265
86,-33.65,-18.65736595368992,5.2415201392657655,4.608112247366538,2.1103581248596313
87,-22.76,-34.47415990041338,12.959159445010831,4.562665681300632,2.19955671537295
88,-6.15,-17.60921212083488,6.889186180480758,4.648820971329507,2.1819750894494354
89,-11.57,-12.571480345365412,9.164150465746712,4.138929970677099,2.3140420714318752
90,-8.6,-14.684475620517931,7.669438771234627,4.135602841950298,2.241379665777087
91,-24.25,-28.434049931149712,7.554624664008756,4.2406001731835605,2.2580683256164193
92,-29.86,-20.70107937311566,7.295267795288404,4.74911047039969,2.1601608879975975
93,-6.76,-12.64743986402464,8.550406815640835,4.082594519743686,2.31854998101294
94,-11.17,-8.345007577544711,8.273770711639246,4.728865100930505,2.1561740142405035
95,-7.52,-9.768163746047579,6.027042095551844,4.751572605483345,2.1220989536345005
96,-10.64,-24.924857297885655,7.390036802029525,4.604396637791631,2.150134969238192
97,-13.03,-16.449653742346403,7.3561572407763505,4.7522297810350285,2.138887578766793
98,-13.83,-8.177619244141136,9.656053588652172,4.531863520967152,2.193129583325237
99,-30.23,-17.4858787791404,8.388456570994087,3.7439758951704754,2.3964924265518786
