episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
56,-57311.0,-56096.38430686383,3.3123790066924976,41.655,141.77913336137988,120.07,85.6,0.0,0.0,0.0
57,-57403.0,-56170.6575638757,3.3150489609017257,41.752,142.29679595278247,120.65,86.32,0.0,0.0,0.0
58,-58893.0,-57685.27561319582,3.3940803099682983,42.862,145.4525916561315,123.78,88.52,0.0,0.0,0.0
59,-59302.0,-58090.13215412479,3.418436069038394,42.956,144.7575,123.11,87.68,0.0,0.0,0.0
60,-57665.0,-56427.98061354729,3.3258777738640366,41.996,144.18011096884337,122.53,87.57,0.0,0.0,0.0
61,-59846.0,-58586.4684843744,3.448741810496654,43.439,146.06925323320817,124.4,88.71,0.0,0.0,0.0
62,-57745.0,-56502.624141910834,3.3418922155688624,41.855,139.95521774856203,118.29,84.11,0.0,0.0,0.0
63,-57751.0,-56533.93136393775,3.3276907361747097,42.027,144.5959811885421,122.96,87.94,0.0,0.0,0.0
64,-58959.0,-57696.55302403994,3.399312786192321,42.935,145.04114189756507,123.38,88.26,0.0,0.0,0.0
65,-57834.0,-56571.753577941156,3.3434124691792886,41.844,141.07089552238807,119.49,84.75,0.0,0.0,0.0
66,-57650.0,-56388.28345784985,3.326246213455442,41.806,143.01863617111394,121.42,86.5,0.0,0.0,0.0
67,-59005.0,-57751.87491580299,3.402523775977457,43.016,144.44592901878914,122.68,87.78,0.0,0.0,0.0
68,-56670.0,-55404.46893111485,3.275713631560409,41.188,141.72040729741195,120.1,85.61,0.0,0.0,0.0
69,-60220.0,-58968.91421543764,3.4709288481859812,43.661,145.75876288659794,124.02,88.41,0.0,0.0,0.0
70,-57450.0,-56223.04988083181,3.308835153222966,41.875,146.2425032594524,124.59,89.45,0.0,0.0,0.0
71,-56552.0,-55352.59995572953,3.2647897146882707,41.068,143.02715517241379,121.28,86.59,0.0,0.0,0.0
