step,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
840.0,-0.11000000000000025,-3.0317293897777073,0.7333333333333333,10.512409458655812,1.2019522041082382
845.0,-0.21000000000000024,-2.8906429202888217,1.6153846153846154,11.119960649314956,1.2524402514100075
850.0,-0.02000000000000024,-2.7471107742743803,0.16666666666666666,9.595899521340257,0.20195220410823822
855.0,-0.07000000000000024,-2.613255235560661,0.7,11.196354717315623,1.1514641530811787
860.0,-0.010000000000000238,-2.483092473782628,0.07692307692307693,10.799695744007758,0.2524402514100075
865.0,-0.10000000000000026,-2.3639378500934964,0.7692307692307693,10.687606643785085,1.3029282987117767
870.0,-0.27000000000000024,-2.2592409575888217,1.8,9.516167438907026,1.3534163534641266
875.0,-0.5000000000000002,-2.1712789097093803,3.3333333333333335,8.014804384461229,1.454392448067665
880.0,-0.8200000000000002,-2.103714964223911,5.125,7.4351065281764015,1.5553685426712036
885.0,-1.1900000000000002,-2.058029216012715,7.4375,5.734018093572396,1.6058565974235535
890.0,-1.6500000000000001,-2.037627755212079,9.166666666666666,4.921212769707751,1.6058565974235535
895.0,-2.2,-2.0457463674514753,11.578947368421053,4.827583937343792,1.6563446521759033
900.0,-2.8,-2.0834590490789013,14.0,4.515850342158636,1.6563446521759033
905.0,-2.48,-2.1032860966249562,4.956521739130435,5.3206591302326,0.6058565974235535
910.0,-1.34,-2.0651217917937084,0.44,7.812615288732045,1.4039044082164764
915.0,-0.82,-2.002865702204023,0.04,7.430542367062778,0.3534163534641266
920.0,-0.96,-1.9507224170938215,0.9166666666666666,8.195067896328,1.4039044082164764
925.0,-0.61,-1.8836862962391303,0.0,8.425129534470283,0.40390440821647644
930.0,-0.10999999999999999,-1.7950019814271738,0.4782608695652174,9.512598668546389,1.2524402514100075
935.0,-0.09999999999999999,-1.710251882355815,0.1,10.303520051144755,0.2524402514100075
940.0,-0.10999999999999999,-1.6302392882380243,0.5789473684210527,9.73711025487046,1.3029282987117767
945.0,-0.31,-1.564227323826123,1.55,9.721358294479929,1.3534163534641266
950.0,-0.22,-1.4970159576348168,0.0,9.9326963441952,0.3534163534641266
955.0,-0.06,-1.4251651597530757,0.3157894736842105,10.268548427780315,1.1514641530811787
960.0,-0.020000000000000004,-1.3549069017654216,0.0,10.018389437645386,0.15146415308117867
965.0,-0.04000000000000001,-1.2891615566771504,0.25,10.213391754304741,1.2019522041082382
970.0,-6.938893903907228e-18,-1.224703478843293,0.0,11.217290052179353,0.15146415308117867
975.0,-6.938893903907228e-18,-1.1634683049011283,0.0,12.06595457591775,1.2019522041082382
980.0,-6.938893903907228e-18,-1.105294889656072,0.0,11.790752403746628,0.30292829871177673
985.0,-0.05000000000000001,-1.0525301451732683,0.3125,10.178878021848178,1.3029282987117767
990.0,-0.24000000000000002,-1.0119036379146047,1.3333333333333333,9.047806541081222,1.4039044082164764
995.0,-0.53,-0.9878084560188743,3.3125,8.193132807723291,1.4039044082164764
1000.0,-0.84,-0.9804180332179306,4.9411764705882355,7.025264552209903,1.454392448067665
1005.0,-1.24,-0.993397131557034,5.904761904761905,8.094393908625609,1.6563446521759033
1010.0,-1.64,-1.0257272749791824,7.809523809523809,6.970058236138042,1.7068327069282532
1015.0,-2.15,-1.0819409112302232,7.962962962962963,6.922079755308022,1.8582968711853027
1020.0,-2.8,-1.1678438656687118,9.333333333333334,6.904509755450701,1.8582968711853027
1025.0,-3.54,-1.2864516723852761,10.114285714285714,6.826648896984336,1.95927295088768
1030.0,-4.39,-1.4416290887660124,11.864864864864865,7.056680382606352,2.0602490305900574
1035.0,-4.18,-1.5785476343277118,6.2105263157894735,5.75261361763301,1.1107370853424072
1040.0,-2.54,-1.6266202526113263,1.2564102564102564,5.6463739271244995,2.00976100564003
1045.0,-2.77,-1.68378923998076,0.2857142857142857,5.641355842346212,1.1107370853424072
1050.0,-2.93,-1.746099777981722,0.9761904761904762,5.996188199728609,2.211713194847107
1055.0,-3.49,-1.8332947890826359,2.2,6.286413196611498,2.262201249599457
1060.0,-4.4,-1.961630049628504,4.2,5.551221568426094,2.3631773591041565
1065.0,-5.59,-2.1430485471470786,7.333333333333333,4.677481474748102,2.3631773591041565
1070.0,-6.92,-2.3818961197897246,10.022727272727273,4.763423199494104,2.565129578113556
1075.0,-7.03,-2.6143013138002384,8.48936170212766,3.8246732957650944,1.6156176328659058
1080.0,-6.11,-2.7890862481102263,5.16,4.680956525251469,2.464153468608856
1085.0,-4.62,-2.8806319357047148,3.188679245283019,5.5180409036926905,2.211713194847107
1090.0,-5.04,-2.988600338919479,0.75,4.245283721887982,1.3126893043518066
1095.0,-5.12,-3.095170321973505,0.5576923076923077,4.623992588353069,2.4136654138565063
1100.0,-4.81,-3.1809118058748296,0.6111111111111112,4.988359712221524,1.4136654138565063
1105.0,-4.12,-3.2278662155810878,0.8727272727272727,4.328040188560415,2.3631773591041565
1110.0,-3.96,-3.2644729048020333,0.6551724137931034,4.154965098422609,1.4136654138565063
1115.0,-4.03,-3.3027492595619314,0.5,4.1857281485058415,2.514641523361206
1120.0,-4.16,-3.345611796583835,1.2131147540983607,4.496223989655559,2.6156176328659058
1125.0,-4.79,-3.417831206754643,2.5,4.869871769240611,2.6661056876182556
1130.0,-5.84,-3.5389396464169103,4.52542372881356,5.049213093694683,2.7165937423706055
1135.0,-7.32,-3.727992664096065,6.916666666666667,4.6898326597696345,2.918545961380005
1140.0,-7.88,-3.9355930308912614,6.983333333333333,4.190393856065985,1.8175698518753052
1145.0,-7.27,-4.102313379346698,5.6440677966101696,4.321993157563481,2.6156176328659058
1150.0,-7.93,-4.293697710379362,4.428571428571429,3.8843874370049285,1.565129578113556
1155.0,-8.38,-4.498012824860394,2.142857142857143,4.143841786149077,2.565129578113556
1160.0,-8.87,-4.716612183617374,1.423728813559322,4.801522430570074,2.6661056876182556
1165.0,-9.7,-4.965781574436505,2.8,4.763539747004242,2.817569851875305
1170.0,-10.86,-5.26049249571468,4.796610169491525,4.476070118619455,2.918545961380005
1175.0,-12.39,-5.616967870928947,7.517241379310345,4.156496431782292,2.918545961380005
1180.0,-14.2,-6.046119477382499,11.0,3.820853522034991,2.918545961380005
1185.0,-16.1,-6.548813503513374,13.89655172413793,4.056443451292601,2.918545961380005
1190.0,-18.0,-7.121372828337705,18.10909090909091,3.7545238512143784,2.918545961380005
1195.0,-19.9,-7.76030418692082,21.178571428571427,3.917739884348183,2.918545961380005
1200.0,-21.8,-8.46228897757478,26.46153846153846,3.221602084882702,2.918545961380005
1205.0,-23.7,-9.224174528696041,29.547169811320753,3.4416185308477574,2.918545961380005
1210.0,-25.6,-10.04296580226124,34.431372549019606,3.115934610748685,2.918545961380005
1215.0,-27.5,-10.915817512148177,38.92,3.01957249840508,2.918545961380005
1220.0,-27.01,-11.720526636540768,35.08163265306123,2.79752801193877,1.8175698518753052
1225.0,-23.23,-12.29600030471373,24.79591836734694,3.7351407052228223,2.565129578113556
1230.0,-19.69,-12.665700289478043,16.6,5.004779914978078,2.3126893043518066
1235.0,-20.17,-13.04091527500414,6.02,5.235044467717613,1.3126893043518066
1240.0,-20.22,-13.399869511253932,0.49019607843137253,5.650791836780951,2.4136654138565063
1245.0,-20.7,-13.764876035691236,1.537037037037037,5.846621705966556,2.514641523361206
1250.0,-21.58,-14.155632233906674,3.0535714285714284,5.074216981062634,2.7165937423706055
1255.0,-22.78,-14.586850622211339,4.932203389830509,4.580063870568156,2.918545961380005
1260.0,-22.08,-14.96150809110077,5.275862068965517,4.053926281400629,1.8175698518753052
1265.0,-19.24,-15.175432686545731,4.555555555555555,4.153868389290225,2.6156176328659058
1270.0,-20.26,-15.429661052218444,3.764705882352941,3.4972985966266945,1.6156176328659058
1275.0,-20.9,-15.70317799960752,2.235294117647059,4.789533609131575,2.6156176328659058
1280.0,-21.52,-15.994019099627144,1.9811320754716981,5.158724612465268,2.7165937423706055
1285.0,-22.49,-16.318818144645785,3.672727272727273,4.721276473491436,2.817569851875305
1290.0,-21.17,-16.561377237413495,3.672727272727273,3.6421189622809447,1.8175698518753052
1295.0,-17.46,-16.60630837554282,3.2222222222222223,3.584866354257944,2.6661056876182556
1300.0,-18.46,-16.69899295676568,2.327272727272727,3.813498221150305,1.6661056876182556
1305.0,-19.11,-16.819543308927393,1.7142857142857142,4.410466396453329,2.6661056876182556
1310.0,-17.21,-16.839066143481023,0.65,4.419751389221606,1.6156176328659058
1315.0,-11.76,-16.585112836306973,0.819672131147541,3.9989500330674264,2.464153468608856
1320.0,-12.33,-16.372357194491624,0.7142857142857143,3.209651234558808,1.565129578113556
1325.0,-12.86,-16.19673933476704,0.8852459016393442,3.3472083717559276,2.565129578113556
1330.0,-11.42,-15.957902368028689,0.8095238095238095,3.206881589026812,1.565129578113556
1335.0,-7.88,-15.554007249627254,0.8,3.4464291378798375,2.464153468608856
1340.0,-7.36,-15.144306887145891,0.7794117647058824,2.9712637009458525,1.565129578113556
1345.0,-7.6,-14.767091542788597,0.8235294117647058,3.0959810003557635,2.6156176328659058
1350.0,-7.41,-14.399236965649166,0.8088235294117647,2.5944782581741057,1.565129578113556
1355.0,-6.17,-13.987775117366708,0.8088235294117647,2.86253891586094,2.464153468608856
1360.0,-6.5,-13.613386361498371,0.6714285714285714,2.5195910060577926,1.6156176328659058
1365.0,-6.48,-13.256717043423452,0.6956521739130435,2.6762174743258798,2.6156176328659058
1370.0,-6.5,-12.918881191252277,1.4507042253521127,3.502638073252967,2.7165937423706055
1375.0,-7.15,-12.630437131689662,2.8450704225352115,4.124729529554735,2.817569851875305
1380.0,-8.32,-12.414915275105178,4.940298507462686,4.377146451834496,2.918545961380005
1385.0,-9.84,-12.286169511349918,7.545454545454546,4.665917744811921,2.918545961380005
1390.0,-10.12,-12.177861035782422,7.7384615384615385,4.1787469286255785,1.8175698518753052
1395.0,-8.4,-11.9889679839933,6.171875,3.9599318350007398,2.565129578113556
1400.0,-8.88,-11.833519584793635,4.016393442622951,3.6094718615700563,1.514641523361206
1405.0,-9.44,-11.713843605553953,2.2096774193548385,4.068507385682778,2.514641523361206
1410.0,-9.78,-11.617151425276255,1.3333333333333333,4.424943372487098,2.6156176328659058
1415.0,-10.54,-11.563293854012441,2.6307692307692307,4.460826922482886,2.7670817971229553
1420.0,-11.68,-11.569129161311817,4.235294117647059,4.315473740316496,2.918545961380005
1425.0,-11.7,-11.575672703246227,4.630769230769231,3.7636337336080192,1.8175698518753052
1430.0,-10.66,-11.529889068083914,4.015625,3.673053531323648,2.6156176328659058
1435.0,-11.91,-11.548894614679718,3.4838709677419355,2.7070259605786275,1.6156176328659058
1440.0,-12.64,-11.60344988394573,1.819672131147541,3.4301648499860544,2.6156176328659058
1445.0,-11.97,-11.621777389748443,0.71875,3.6884360562436265,1.6156176328659058
1450.0,-10.27,-11.554188520261022,0.676923076923077,3.672584266315239,2.514641523361206
1455.0,-9.61,-11.45697909424797,0.5384615384615384,3.4649223693436975,1.514641523361206
1460.0,-9.81,-11.374630139535572,0.5151515151515151,3.4288675745890425,2.6156176328659058
1465.0,-10.05,-11.308398632558793,1.1846153846153846,4.238422628031713,2.6156176328659058
1470.0,-10.7,-11.277978700930854,2.5384615384615383,4.51938214028342,2.7165937423706055
1475.0,-11.8,-11.30407976588431,4.287878787878788,4.386463067376297,2.918545961380005
1480.0,-13.26,-11.401875777590094,6.630769230769231,4.7822952837781365,2.918545961380005
1485.0,-13.39,-11.501281988710588,7.015873015873016,4.288529571170807,1.8175698518753052
1490.0,-11.96,-11.524217889275059,5.661290322580645,4.168057293434322,2.6156176328659058
1495.0,-12.4,-11.568006994811306,4.084745762711864,3.3588010785384643,1.565129578113556
1500.0,-12.98,-11.638606645070741,2.0847457627118646,3.8658582412180484,2.565129578113556
1505.0,-11.94,-11.653676312817202,0.6166666666666667,3.876145686643104,1.565129578113556
1510.0,-9.53,-11.547492497176341,0.7166666666666667,4.053312199959103,2.464153468608856
1515.0,-9.15,-11.427617872317523,0.5645161290322581,3.223860341108223,1.565129578113556
1520.0,-9.28,-11.320236978701647,0.6031746031746031,3.881957519757539,2.565129578113556
1525.0,-9.6,-11.234225129766564,1.4516129032258065,4.035980520321126,2.6661056876182556
1530.0,-10.31,-11.188013873278235,2.901639344262295,4.587220804880077,2.7670817971229553
1535.0,-9.62,-11.109613179614323,2.757575757575758,4.158875361262517,1.8175698518753052
1540.0,-8.2,-10.964132520633607,2.467741935483871,3.7850793650008603,2.6156176328659058
1545.0,-6.31,-10.731425894601927,2.9838709677419355,4.178979112548808,2.3126893043518066
1550.0,-7.17,-10.55335459987183,1.901639344262295,3.749344136404632,1.3126893043518066
1555.0,-7.45,-10.398186869878238,1.0833333333333333,3.684214410657734,2.4136654138565063
1560.0,-7.78,-10.267277526384325,1.6349206349206349,4.3995865237263505,2.514641523361206
1565.0,-8.39,-10.173413650065108,2.5142857142857142,4.074469591201492,2.817569851875305
