episode,cumulative_reward,average_cumulative_reward,mean_waiting_time,mean_speed,mean_lane_density
50,-765.01,-764.0231126866632,1235.1230289423638,1.5015901506826708,6.987239873194789
51,-763.49,-763.6529406362321,1226.8348546027346,1.4994957326945624,6.9835980979218055
52,-763.89,-763.4987046756888,1225.3850503159786,1.4966483522083622,6.996466713631562
53,-764.16,-763.5959136482816,1231.083831984286,1.5214541201565552,6.975087706939065
54,-763.59,-763.8611522906016,1239.7243953806758,1.5036747315946104,6.998001408946814
55,-763.36,-763.6436629106687,1272.5214605548265,1.4881787401270907,7.018460021134204
56,-763.05,-763.508824225757,1256.383338956236,1.4874673724253278,7.0188569918985575
57,-764.05,-763.6453323360296,1227.9856252594263,1.5133600860524419,6.988451215216628
58,-762.74,-763.3419748986646,1250.4314329103152,1.5049465837735856,7.000158506516382
59,-763.36,-763.125969745433,1273.5433643768397,1.497562119923149,7.013025713279325
60,-763.37,-764.1929254283547,1264.7141835912319,1.5115433963852531,6.980775625220151
61,-764.55,-763.787648352673,1242.7980653045486,1.4990693959971855,6.9952423388517095
62,-764.3,-764.1646938938409,1258.145201017602,1.5054853884735921,6.984117294822123
63,-763.02,-763.5833344764224,1264.0920763890376,1.5024951800891995,6.9927062345896465
64,-763.25,-763.5540406120331,1252.3658779877026,1.4940266593281433,7.005373723141953
65,-763.35,-763.4337026622123,1240.6103406166142,1.505331838679619,6.995154631912647
66,-763.35,-763.3553518621505,1246.823967957423,1.5069319216800303,6.997581190560059
67,-763.52,-763.7065230309775,1243.8849497976464,1.5018177805237045,7.000030996829872
68,-763.27,-763.6166291463759,1246.85067759574,1.484546154514241,7.0050556533990855
69,-762.95,-763.3164270990894,1274.446835821876,1.480294773759195,7.020078548784785
70,-763.3,-763.3745282017926,1260.265674914853,1.5014850076662305,6.994291299753437
71,-763.45,-763.576108455367,1257.6396205409435,1.5028294962630542,6.992921451215218
72,-762.75,-763.1189581568159,1270.3308776215197,1.4981773306811206,7.009015498414937
73,-763.13,-763.449496212068,1259.9752615510788,1.4824161767545725,7.019143008101446
74,-763.58,-763.6780983840721,1255.5115482418817,1.5108671444640072,6.985189503346251
