step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
165.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.6868616, 0.42268404, 0.8453681, 1.0, 0.36984855, 0.5811906, 0.8453681, 1.0, 0.5811906, 0.15850651, 0.5811906, 1.0, 0.26417753, 0.21134202, 0.5811906, 1.0",,True,0,-35.07,-16.2862894863559,14.579831932773109,2.049626351797854,5.751320887636492
170.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.6868616, 0.52835506, 0.6868616, 1.0, 0.36984855, 0.5811906, 0.6868616, 1.0, 0.63402605, 0.31701303, 0.36984855, 1.0, 0.36984855, 0.31701303, 0.36984855, 1.0",,True,0,-35.84,-17.263975012038106,16.76923076923077,2.0625474677444395,5.539978865797816
175.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.7396971, 0.52835506, 0.52835506, 1.0, 0.36984855, 0.5811906, 0.52835506, 1.0, 0.6868616, 0.42268404, 0.10567101, 1.0, 0.36984855, 0.52835506, 0.10567101, 1.0",,True,0,-36.95,-18.2482762614362,19.035398230088497,2.3073958055859416,5.2758013384994715
180.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.7396971, 0.52835506, 0.52835506, 0.9510391, 0.36984855, 0.5811906, 0.52835506, 0.9510391, 0.7396971, 0.52835506, 0.052835505, 0.8453681, 0.36984855, 0.5811906, 0.052835505, 0.8453681",,True,0,-39.27,-19.299362448364388,19.412844036697248,2.187640175955494,5.177879535047552
185.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.79253256, 0.52835506, 0.5811906, 0.8453681, 0.42268404, 0.63402605, 0.63402605, 0.8453681, 0.7396971, 0.52835506, 0.15850651, 0.5811906, 0.36984855, 0.5811906, 0.15850651, 0.5811906",,True,0,-39.79,-20.323894325946167,18.046296296296298,2.4326122869225175,5.2835505459668894
190.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.79253256, 0.52835506, 0.7396971, 0.6868616, 0.42268404, 0.6868616, 0.6868616, 0.6868616, 0.7396971, 0.52835506, 0.31701303, 0.36984855, 0.36984855, 0.63402605, 0.36984855, 0.31701303",,True,0,-38.88,-21.251699609648856,16.54954954954955,2.6039103959300425,5.230715040507221
195.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.79253256, 0.5811906, 0.8453681, 0.52835506, 0.42268404, 0.6868616, 0.79253256, 0.5811906, 0.79253256, 0.52835506, 0.47551954, 0.15850651, 0.42268404, 0.6868616, 0.47551954, 0.10567101",,True,0,-38.82,-22.13011462916641,15.9375,2.624568397020873,5.230715040507222
200.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.7396971, 0.63402605, 0.9510391, 0.52835506, 0.36984855, 0.7396971, 0.8982036, 0.52835506, 0.63402605, 0.5811906, 0.6868616, 0.052835505, 0.26417753, 0.6868616, 0.6868616, 0.052835505",,True,0,-39.86,-23.01660889770809,14.0,2.4348729696043825,5.389221556886228
205.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.63402605, 0.6868616, 1.0, 0.63402605, 0.26417753, 0.7396971, 0.9510391, 0.63402605, 0.36984855, 0.5811906, 0.8453681, 0.15850651, 0.0, 0.7396971, 0.8453681, 0.15850651",,True,0,-39.43,-23.837278452822684,12.88888888888889,2.2691266741814813,5.543853469531525
210.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.63402605, 0.6868616, 0.9510391, 0.6868616, 0.26417753, 0.7396971, 0.9510391, 0.7396971, 0.21134202, 0.6868616, 0.8453681, 0.31701303, 0.052835505, 0.7396971, 0.8453681, 0.31701303",,True,0,-41.62,-24.726414530181547,13.28448275862069,1.7131733680240289,5.6533990841845725
215.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.6868616, 0.6868616, 0.8453681, 0.8453681, 0.26417753, 0.79253256, 0.8453681, 0.8453681, 0.15850651, 0.6868616, 0.5811906, 0.52835506, 0.26417753, 0.7396971, 0.5811906, 0.47551954",,True,0,-42.94,-25.637093803672467,13.440677966101696,1.8498392584288628,5.811905600563579
220.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.6868616, 0.63402605, 0.8453681, 0.9510391, 0.31701303, 0.79253256, 0.8453681, 0.9510391, 0.36984855, 0.52835506, 0.47551954, 0.6868616, 0.26417753, 0.63402605, 0.42268404, 0.5811906",,True,0,-44.63,-26.586739113488843,11.90983606557377,1.5237000518183552,6.023247622402254
225.0,0,0,"0.0, 1.0, 0.0, 0.0, 1.0, 0.7396971, 0.47551954, 0.8453681, 1.0, 0.31701303, 0.6868616, 0.8453681, 1.0, 0.52835506, 0.26417753, 0.47551954, 0.8453681, 0.26417753, 0.42268404, 0.36984855, 0.8982036",,True,0,-43.39,-27.4269021578144,9.264462809917354,1.5902498397163625,5.909827404015498
230.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.79253256, 0.47551954, 0.8453681, 0.9510391, 0.31701303, 0.6868616, 0.8453681, 0.9510391, 0.6868616, 0.052835505, 0.42268404, 0.8453681, 0.26417753, 0.31701303, 0.36984855, 0.8453681",,True,0,-45.17,-28.31405704992368,7.140495867768595,1.7553781966101139,5.8647411060232475
235.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.79253256, 0.47551954, 0.9510391, 0.79253256, 0.36984855, 0.6868616, 0.9510391, 0.8453681, 0.79253256, 0.15850651, 0.63402605, 0.63402605, 0.31701303, 0.26417753, 0.5811906, 0.5811906",,True,0,-45.02,-29.149354197427495,7.434426229508197,1.8352757056211166,5.8647411060232475
240.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.8982036, 0.47551954, 0.8982036, 0.79253256, 0.47551954, 0.7396971, 0.8982036, 0.8453681, 0.79253256, 0.31701303, 0.5811906, 0.36984855, 0.31701303, 0.36984855, 0.5811906, 0.47551954",,True,0,-47.09,-30.04638648755612,7.747967479674797,1.8421063031534857,6.0232476224022555
245.0,0,0,"0.0, 0.0, 1.0, 0.0, 1.0, 0.8982036, 0.47551954, 0.8453681, 0.79253256, 0.52835506, 0.8453681, 0.8453681, 0.8453681, 0.8982036, 0.47551954, 0.52835506, 0.31701303, 0.31701303, 0.52835506, 0.52835506, 0.42268404",,True,0,-47.81,-30.93456716317831,7.744,1.8571385591770992,6.076083127861923
250.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.9510391, 0.52835506, 0.6868616, 0.79253256, 0.52835506, 0.8453681, 0.6868616, 0.8453681, 0.8982036, 0.47551954, 0.36984855, 0.31701303, 0.47551954, 0.6868616, 0.36984855, 0.42268404",,True,0,-47.65,-31.770338805019396,9.373983739837398,2.2347657878549256,5.8647411060232475
255.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.8982036, 0.52835506, 0.6868616, 0.8982036, 0.52835506, 0.8453681, 0.6868616, 0.9510391, 0.79253256, 0.52835506, 0.21134202, 0.52835506, 0.36984855, 0.8453681, 0.15850651, 0.5811906",,True,0,-49.18,-32.64082186476843,9.39516129032258,1.8382910171457338,6.023247622402254
260.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.7396971, 0.5811906, 0.6868616, 0.9510391, 0.52835506, 0.9510391, 0.6868616, 0.9510391, 0.52835506, 0.52835506, 0.21134202, 0.7396971, 0.10567101, 0.8453681, 0.21134202, 0.79253256",,True,0,-47.92,-33.40478077153,9.21774193548387,2.1957136732827185,6.0760831278619225
265.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.7396971, 0.63402605, 0.79253256, 0.9510391, 0.52835506, 0.9510391, 0.79253256, 0.9510391, 0.36984855, 0.5811906, 0.31701303, 0.79253256, 0.0, 0.8982036, 0.36984855, 0.8453681",,True,0,-49.0,-34.1845417329535,9.36923076923077,1.8887238613336137,6.340260655160268
270.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.7396971, 0.63402605, 0.8982036, 0.8453681, 0.52835506, 0.9510391, 0.8982036, 0.8453681, 0.31701303, 0.5811906, 0.47551954, 0.5811906, 0.21134202, 0.9510391, 0.52835506, 0.5811906",,True,0,-49.12,-34.93131464630582,9.875968992248062,1.7404854347025724,6.340260655160268
275.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.7396971, 0.5811906, 0.9510391, 0.79253256, 0.5811906, 0.8982036, 0.9510391, 0.79253256, 0.36984855, 0.47551954, 0.63402605, 0.42268404, 0.42268404, 0.79253256, 0.7396971, 0.36984855",,True,0,-49.21,-35.645248913990535,9.511627906976743,1.6119691084075982,6.287425149700599
280.0,0,0,"0.0, 1.0, 0.0, 0.0, 1.0, 0.7396971, 0.52835506, 1.0, 0.79253256, 0.63402605, 0.7396971, 1.0, 0.79253256, 0.52835506, 0.21134202, 0.8453681, 0.31701303, 0.52835506, 0.52835506, 0.8982036, 0.31701303",,True,0,-47.25,-36.225486468291,8.212121212121213,1.8946563285392868,6.226840436773513
285.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.7396971, 0.5811906, 0.9510391, 0.79253256, 0.7396971, 0.7396971, 0.9510391, 0.79253256, 0.6868616, 0.15850651, 0.8453681, 0.31701303, 0.63402605, 0.36984855, 0.8453681, 0.31701303",,True,0,-49.39,-36.883712144876455,7.351145038167939,2.1400659922299083,6.287425149700599
290.0,0,0,"0.0, 0.0, 1.0, 0.0, 1.0, 0.7396971, 0.63402605, 0.8453681, 0.8453681, 0.7396971, 0.79253256, 0.8453681, 0.8453681, 0.7396971, 0.15850651, 0.5811906, 0.47551954, 0.6868616, 0.26417753, 0.5811906, 0.42268404",,True,0,-50.63,-37.57102653763263,7.2421875,1.8431073960981845,6.287425149700599
295.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.8453681, 0.63402605, 0.6868616, 0.9510391, 0.7396971, 0.79253256, 0.6868616, 0.9510391, 0.7396971, 0.36984855, 0.36984855, 0.63402605, 0.7396971, 0.36984855, 0.36984855, 0.6868616",,True,0,-50.94,-38.239475210750996,8.6,1.9986155012236964,6.287425149700599
300.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.8453681, 0.6868616, 0.5811906, 1.0, 0.7396971, 0.8982036, 0.5811906, 1.0, 0.8453681, 0.47551954, 0.15850651, 0.8453681, 0.7396971, 0.52835506, 0.10567101, 0.79253256",,True,0,-52.86,-38.97050145021345,10.312977099236642,2.031002446966237,6.33251144769285
305.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.8453681, 0.6868616, 0.52835506, 0.9510391, 0.7396971, 0.9510391, 0.52835506, 0.9510391, 0.8453681, 0.6868616, 0.0, 0.8453681, 0.7396971, 0.7396971, 0.0, 0.79253256",,True,0,-53.75,-39.70947637770277,11.89922480620155,2.0669303889290584,6.181754138781261
310.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.8982036, 0.6868616, 0.63402605, 0.8453681, 0.7396971, 0.9510391, 0.63402605, 0.8453681, 0.8453681, 0.6868616, 0.15850651, 0.5811906, 0.7396971, 0.8982036, 0.15850651, 0.5811906",,True,0,-54.0,-40.424002558817634,13.724409448818898,1.8099688831267218,6.2345896442409305
315.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.8982036, 0.7396971, 0.7396971, 0.6868616, 0.8453681, 0.9510391, 0.7396971, 0.7396971, 0.8982036, 0.6868616, 0.26417753, 0.31701303, 0.7396971, 0.9510391, 0.31701303, 0.36984855",,True,0,-55.13,-41.15930243087675,15.229007633587786,2.1690087300919028,6.340260655160268
