step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
225.0,2,19.0,0.76,10.541905810567972,2,19.0,0.6775978514992882,2,19.0
230.0,3,33.0,1.375,9.996291798063238,3,33.0,0.5791415517336883,3,33.0
235.0,2,3.0,0.125,8.574791471181971,2,11.0,0.530142508096209,2,11.0
240.0,6,25.0,1.1904761904761905,8.695980032954889,6,25.0,0.47683537707388013,6,25.0
245.0,2,2.0,0.09090909090909091,7.437642558740103,2,28.0,0.44399870356912585,2,28.0
250.0,1,3.0,0.14285714285714285,10.069966952059726,1,5.0,0.6662289189272121,1,5.0
255.0,2,10.0,0.43478260869565216,9.68317964424375,2,10.0,0.5106031929697274,2,10.0
260.0,1,2.0,0.09090909090909091,8.744529287100393,1,7.0,0.48634356551161706,1,7.0
265.0,4,18.0,0.9,9.290990499747709,4,18.0,0.49087735962147067,4,18.0
270.0,0,0.0,0.0,9.100042564009703,0,16.0,0.5393405172317414,0,16.0
275.0,1,2.0,0.13333333333333333,9.605239939163814,1,2.0,0.5908477226124517,1,2.0
280.0,1,7.0,0.3181818181818182,12.02098229233235,1,7.0,0.8519490243534102,1,7.0
285.0,0,0.0,0.0,12.020248063260011,0,0.0,0.854929672218305,0,0.0
290.0,2,5.0,0.2631578947368421,10.440290464155238,2,5.0,0.659931239387646,2,5.0
295.0,1,1.0,0.05555555555555555,7.675096618585916,1,4.0,0.4569641211717377,1,4.0
300.0,3,13.0,0.5652173913043478,10.368614492568136,3,13.0,0.6809862039616462,3,13.0
305.0,3,28.0,1.2173913043478262,10.606352007573037,3,28.0,0.6769946096141238,3,28.0
310.0,2,3.0,0.13636363636363635,7.2964825223527265,2,14.0,0.3928865363238472,2,14.0
315.0,7,29.0,1.2608695652173914,8.38300857279141,7,29.0,0.46541006850074446,7,29.0
320.0,2,11.0,0.4583333333333333,7.965336354171118,2,40.0,0.4820402553312218,2,40.0
325.0,1,1.0,0.043478260869565216,7.983037550251955,1,2.0,0.4662832951543621,1,2.0
330.0,1,6.0,0.2222222222222222,10.758944680679267,1,6.0,0.6838971318441353,1,6.0
