step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,32564122_stopped,32564122_accumulated_waiting_time,32564122_average_speed,cluster_1757124350_1757124352_stopped,cluster_1757124350_1757124352_accumulated_waiting_time,cluster_1757124350_1757124352_average_speed,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_stopped,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_accumulated_waiting_time,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_average_speed,gneJ143_stopped,gneJ143_accumulated_waiting_time,gneJ143_average_speed,gneJ207_stopped,gneJ207_accumulated_waiting_time,gneJ207_average_speed,gneJ210_stopped,gneJ210_accumulated_waiting_time,gneJ210_average_speed,gneJ260_stopped,gneJ260_accumulated_waiting_time,gneJ260_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
57770.0,37,2445.0,30.949367088607595,4.962261509409331,1,4.0,0.013977632970612934,4,325.0,0.0,6,569.0,0.0,0,9.0,0.4755662259823933,1,34.0,0.0,3,102.0,0.381178136342467,6,535.0,0.0,21,1578.0
57775.0,40,2631.0,33.73076923076923,4.9940966360537065,2,9.0,0.31617857427935186,5,345.0,0.1554280861814356,6,599.0,0.0,0,1.0,0.2874651326521348,1,39.0,0.0,4,119.0,0.25492947606462235,6,567.0,0.23745104771872627,24,1679.0
57780.0,38,2821.0,38.12162162162162,4.853826336378356,2,19.0,0.26836146818073686,4,365.0,0.2709991022225719,6,629.0,0.07649548996696624,0,1.0,0.38101574767657054,1,44.0,0.0,4,139.0,0.1614558285183819,6,595.0,0.2428284173390094,23,1792.0
57785.0,43,3025.0,42.605633802816904,3.951787155444714,3,33.0,0.36996267223017887,5,387.0,1.062347364422946e-05,7,662.0,0.04835679476091625,0,0.0,0.4534887090330864,1,49.0,0.47218512997057266,5,164.0,0.0,6,625.0,0.23818667651308179,27,1920.0
57790.0,43,3231.0,44.26027397260274,3.6821021052756637,3,44.0,0.16710554870754615,5,412.0,0.0,8,700.0,4.774515068421612e-05,0,0.0,0.52071572057556,1,54.0,0.460725941353685,5,189.0,0.0,6,655.0,0.0,28,2054.0
57795.0,41,3390.0,48.42857142857143,3.585602602736119,0,5.0,0.6197767164364233,5,437.0,0.0,8,740.0,0.0,0,0.0,0.10843800432193322,1,59.0,0.4783826764432634,5,214.0,0.1586551264555222,6,685.0,0.0,25,2140.0
57800.0,43,3594.0,49.23287671232877,3.840142035582269,1,2.0,0.5012871767093561,5,462.0,0.0,8,780.0,0.0,0,0.0,0.09186530336875423,1,64.0,0.46856418337253225,5,239.0,0.013224598465974707,6,715.0,0.0,26,2262.0
57805.0,45,3806.0,52.136986301369866,3.923725362868875,1,3.0,0.5391923628301727,5,487.0,0.0,8,820.0,0.0,0,0.0,1.0,1,69.0,0.49890266314993026,6,268.0,1.2697585361074976e-06,6,745.0,0.0,27,2392.0
57810.0,44,4017.0,56.57746478873239,3.9596402720955033,2,11.0,0.49080478948235995,5,512.0,0.0,8,860.0,0.18246306859094027,0,0.0,1.0,1,74.0,0.0,6,298.0,0.0,6,777.0,0.1307081490817144,28,2532.0
57815.0,45,4237.0,59.67605633802817,4.018242969681001,2,16.0,0.4569419911865338,5,537.0,0.0,8,900.0,0.0,0,0.0,1.0,1,79.0,0.4211608084234123,6,328.0,0.0,6,807.0,0.31213444933417644,28,2667.0
