step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
340.0,5,42.0,1.5555555555555556,8.990494968637424,5,42.0,0.5241798227242535,5,42.0
345.0,5,67.0,2.576923076923077,9.26981279182463,5,67.0,0.5220502550997911,5,67.0
350.0,0,0.0,0.0,9.088551154398546,0,37.0,0.6137779849765091,0,37.0
355.0,3,11.0,0.4583333333333333,9.431346150127295,3,11.0,0.5707326918837992,3,11.0
360.0,0,0.0,0.0,7.677020951457112,0,11.0,0.47116010576438777,0,11.0
365.0,3,10.0,0.4166666666666667,9.561597563365792,3,10.0,0.6004519431259231,3,10.0
370.0,0,0.0,0.0,9.690950591416998,0,5.0,0.6249760118099728,0,5.0
375.0,4,14.0,0.7368421052631579,8.663783086703502,4,14.0,0.44368656253750827,4,14.0
380.0,2,5.0,0.2631578947368421,6.720661339739878,2,20.0,0.3083181077062462,2,20.0
385.0,3,19.0,1.0555555555555556,9.600730728930012,3,19.0,0.5916832783288513,3,19.0
390.0,1,1.0,0.058823529411764705,9.106509258114496,1,8.0,0.6034802219733574,1,8.0
395.0,3,10.0,0.5,9.679753593817864,3,10.0,0.6259629692802633,3,10.0
400.0,0,0.0,0.0,9.33069517128315,0,9.0,0.6601563802664552,0,9.0
405.0,1,5.0,0.2631578947368421,9.15549637643707,1,5.0,0.6074583384372649,1,5.0
410.0,4,18.0,0.782608695652174,9.424919949173475,4,18.0,0.5979650277219778,4,18.0
415.0,0,0.0,0.0,9.233618665287647,0,12.0,0.6691191960108321,0,12.0
420.0,2,6.0,0.25,10.011206375167212,2,6.0,0.7004886547959677,2,6.0
425.0,2,5.0,0.23809523809523808,6.864496829688909,2,8.0,0.40132638685819233,2,8.0
430.0,3,17.0,0.85,8.459410396516429,3,17.0,0.5294392031670521,3,17.0
435.0,3,32.0,1.391304347826087,9.760954419071085,3,32.0,0.6100623070516121,3,32.0
440.0,2,2.0,0.08,9.592433150438087,2,12.0,0.6722710882459731,2,12.0
445.0,4,17.0,0.7727272727272727,8.835190854726198,4,17.0,0.5522644568431793,4,17.0
450.0,2,4.0,0.16,8.394699797901074,2,20.0,0.5196172991949186,2,20.0
455.0,0,0.0,0.0,9.589946646949933,0,6.0,0.5824995529035608,0,6.0
460.0,1,4.0,0.14285714285714285,10.350449351451033,1,4.0,0.5996028304344065,1,4.0
465.0,4,19.0,0.7037037037037037,10.182159672077566,4,19.0,0.6208878018211831,4,19.0
